chr1	34428684	34434716	L1HS	28637	-	LINE	L1	1.5	66969	6032
chr1	66956407	66962431	L1HS	27976	-	LINE	L1	1.5	128034	6024
chr1	68611491	68617546	L1HS	27988	-	LINE	L1	1.7	130927	6055
chr1	71391436	71397481	L1HS	28087	+	LINE	L1	1.7	134746	6045
chr1	71766336	71772368	L1HS	28117	+	LINE	L1	1.4	135255	6032
chr1	80776757	80782811	L1HS	27929	-	LINE	L1	1.6	147401	6054
chr1	83892827	83898844	L1HS	26920	-	LINE	L1	1.4	151570	6017
chr1	85589378	85595408	L1HS	28087	+	LINE	L1	1.4	154211	6030
chr1	85767936	85773969	L1HS	27888	+	LINE	L1	1.8	154459	6033
chr1	86519116	86525143	L1HS	28104	-	LINE	L1	1.4	155450	6027
chr1	93636366	93642395	L1HS	28705	-	LINE	L1	1.6	166391	6029
chr1	104812164	104818195	L1HS	27819	-	LINE	L1	1.6	181727	6031
chr1	104885739	104891770	L1HS	27953	-	LINE	L1	1.5	181798	6031
chr1	113508925	113514958	L1HS	28111	+	LINE	L1	1.5	194738	6033
chr1	118865557	118871586	L1HS	28665	+	LINE	L1	1.4	202945	6029
chr1	121541604	121547639	L1HS	27986	-	LINE	L1	1.5	206864	6035
chr1	126641704	126647734	L1HS	28737	+	LINE	L1	1.4	206945	6030
chr1	148085179	148091205	L1HS	28715	+	LINE	L1	1.4	243708	6026
chr1	165589095	165595126	L1HS	26615	-	LINE	L1	1.7	272850	6031
chr1	173948286	173954344	L1HS	28032	-	LINE	L1	1.5	285301	6058
chr1	175611355	175617379	L1HS	28037	-	LINE	L1	1.5	287826	6024
chr1	180222007	180228039	L1HS	28567	-	LINE	L1	1.5	294972	6032
chr1	186698291	186704322	L1HS	27966	-	LINE	L1	1.6	304795	6031
chr1	186950536	186956564	L1HS	28104	+	LINE	L1	1.5	305157	6028
chr1	193066822	193072849	L1HS	28073	-	LINE	L1	1.4	313033	6027
chr1	195565433	195571465	L1HS	27943	-	LINE	L1	1.6	316136	6032
chr1	196966869	196972899	L1HS	27915	+	LINE	L1	1.4	317871	6030
chr1	209152622	209158679	L1HS	28757	-	LINE	L1	1.5	337957	6057
